Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Boutin K.D., Mitsch W.J., Everham E., Bakshi B.R., Zhang L.","57226525292;7006797161;6602492809;7004361932;56283286100;","An evaluation of corn production within a Wetlaculture™ system at Buckeye Lake, Ohio",2021,"Ecological Engineering","171",, 106366,"","",,,"10.1016/j.ecoleng.2021.106366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111890235&doi=10.1016%2fj.ecoleng.2021.106366&partnerID=40&md5=2de6af73b28f365db16df3d38c9a9dc0","Everglades Wetland Research Park, The Water School, Florida Gulf Coast University, 4940 Bayshore Drive, Naples, FL  34112, United States; Department of Ecology and Environmental Studies, Florida Gulf Coast University, 10501 FGCU Blvd. S, Fort Myers, FL  33965, United States; Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, 140 W. 19th Avenue, Columbus, OH  43210, United States","Boutin, K.D., Everglades Wetland Research Park, The Water School, Florida Gulf Coast University, 4940 Bayshore Drive, Naples, FL  34112, United States; Mitsch, W.J., Everglades Wetland Research Park, The Water School, Florida Gulf Coast University, 4940 Bayshore Drive, Naples, FL  34112, United States; Everham, E., Department of Ecology and Environmental Studies, Florida Gulf Coast University, 10501 FGCU Blvd. S, Fort Myers, FL  33965, United States; Bakshi, B.R., Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, 140 W. 19th Avenue, Columbus, OH  43210, United States; Zhang, L., Everglades Wetland Research Park, The Water School, Florida Gulf Coast University, 4940 Bayshore Drive, Naples, FL  34112, United States","Harmful algal blooms (HABs) are increasing in frequency and severity worldwide due to nonpoint source nutrient pollution, mainly a product of agricultural runoff. This issue is compounded by the steady, global loss of wetlands and their water quality services. Wetlaculture, an integrated system of wetlands and agriculture, has been proposed as a solution to HABs in which farmland located on former wetlands is flipped to serve as a nutrient-sequestering treatment wetland for a period of years, then flipped back to farmland which consumes the stored nutrients for crop production without the need for fertilizers. A wetlaculture mesocosm experiment was initiated at Buckeye Lake, Ohio in 2016, where all of the site's mesocosms had been functioning as treatment wetlands fed with water from an adjacent, nutrient-impaired stream prior to the 2020 season. This study serves as both a continuation of the treatment wetland experiment, and a first attempt at the cultivation of an agricultural crop in wetlaculture mesocosms. Eight of the twenty-eight mesocosms were drained and planted with corn (Zea mays), while the remaining twenty continued to function as treatment wetlands. Inflow and outflow concentrations of five nutrient species were monitored in the wetland mesocosms, while suitability for corn was evaluated via preplant soil tests and ultimate grain yield, which was compared to that of a nearby commercial farm. End-of-season soil analyses from both the corn and wetland mesocosms were taken to determine the impact of these disparate management regimes on total soil N, P, K, and C. Results indicate that the treatment wetlands continued to improve water quality and that the mesocosms planted with corn produced a grain crop without fertilization. Mesocosm yields (58 ± 9.5 bu./ac) fell significantly below those of the reference farm (160 ± 15.3 bu./ac)(p = 0.004). Some of that difference may be due to the frequent herbivory that occurred during this study, in addition to the limited soil volume in the 0.285 m3 mesocosm tubs versus the open agricultural field. © 2021 Elsevier B.V.","Corn; Harmful algal blooms; Horticulture; Treatment wetlands; Water quality; Wetlaculture; Wetland mesocosms","Algae control; Crops; Cultivation; Farms; Grain (agricultural product); Lakes; Nutrients; Soil testing; Soils; Water treatment; Wetlands; Corn; Corn production; Harmful algal blooms; Mesocosms; Nonpoint sources; Nutrient pollution; Quality services; Treatment wetlands; Wetlaculture; Wetland mesocosms; Water quality; Junonia coenia; Zea mays",Article,"Final","",Scopus,2-s2.0-85111890235
"Aleissa Y.M., Bakshi B.R.","57226294078;7004361932;","Constructed Wetlands as Unit Operations in Chemical Process Design: Benefits and Simulation",2021,"Computers and Chemical Engineering","153",, 107454,"","",,,"10.1016/j.compchemeng.2021.107454","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111034115&doi=10.1016%2fj.compchemeng.2021.107454&partnerID=40&md5=599cf07fc6257fec99764b76ad2fbf44","William G. Lowrie Department of Chemical and Biomolecular Engineering The Ohio State University, 151 W. Woodruff Avenue, Columbus, OH  43210, United States","Aleissa, Y.M., William G. Lowrie Department of Chemical and Biomolecular Engineering The Ohio State University, 151 W. Woodruff Avenue, Columbus, OH  43210, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering The Ohio State University, 151 W. Woodruff Avenue, Columbus, OH  43210, United States","Sustainability requires chemical processes to respect ecological constraints. Toward meeting this requirement, the idea of including ecosystems as unit operations in process design has been introduced in previous work. To make this idea more practical, this work develops a constructed wetland (CW) simulation module for use in the process simulation tool CHEMCAD. By simulating various combinations of an anaerobic bioreactor (ABR) technology and a CW ecosystem for water treatment, this work shows that CW is most cost-effective if adequate land area is available. Otherwise, a series arrangement with the ABR before the CW makes the most sense. This result introduces a potential design heuristic that technology is better suited than a nature-based solution for a higher concentration of waste. Integrated designs show that cost-effective designs reduce the separation load on distillation by relying more on the lower-cost CW. Recycling water makes economic sense only if the cost of water increases. © 2021 Elsevier Ltd","Constructed wetlands; Ecosystem services; Process design; Simulation; Sustainable engineering; Water treatment","Biological water treatment; Cost effectiveness; Design; Distillation; Ecosystems; Process design; Sustainable development; Wastewater reclamation; Water recycling; Anaerobic bioreactors; Chemical process; Chemical process design; Design benefits; Design simulations; Ecosystem services; In-process; Simulation; Simulation modules; Sustainable engineering; Wetlands",Article,"Final","",Scopus,2-s2.0-85111034115
"Yazbeck T., Bohrer G., Vines C., De Roo F., Mauder M., Bakshi B.","57221327507;8304718100;57223136535;56001709200;22980041800;7004361932;","Effects of spatial heterogeneity of leaf density and crown spacing of canopy patches on dry deposition rates",2021,"Agricultural and Forest Meteorology","306",, 108440,"","",,,"10.1016/j.agrformet.2021.108440","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105010137&doi=10.1016%2fj.agrformet.2021.108440&partnerID=40&md5=eaa475325e35f7c4abb379777e6936e4","Department of Civil, Environmental, and Geodetic Engineering, The Ohio State University, Columbus, OH  43210, United States; Karlsruhe Institute of Technology, Institute of Meteorology and Climate Research – Atmospheric Environmental Research, Garmisch-Partenkirchen, Germany; The Norwegian Meteorological Institute, Oslo, 0313, Norway; Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States","Yazbeck, T., Department of Civil, Environmental, and Geodetic Engineering, The Ohio State University, Columbus, OH  43210, United States; Bohrer, G., Department of Civil, Environmental, and Geodetic Engineering, The Ohio State University, Columbus, OH  43210, United States; Vines, C., Department of Civil, Environmental, and Geodetic Engineering, The Ohio State University, Columbus, OH  43210, United States; De Roo, F., Karlsruhe Institute of Technology, Institute of Meteorology and Climate Research – Atmospheric Environmental Research, Garmisch-Partenkirchen, Germany, The Norwegian Meteorological Institute, Oslo, 0313, Norway; Mauder, M., Karlsruhe Institute of Technology, Institute of Meteorology and Climate Research – Atmospheric Environmental Research, Garmisch-Partenkirchen, Germany; Bakshi, B., Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States","Trees have a large role in improving urban air quality, among other mechanisms, through dry deposition of scalars and aerosols on leaf surfaces. We tested the role of leaf density and canopy structure in modulating the rate of dry deposition. We simulated the interactions between a virtual forest patch and deposition rate of an arbitrary scalar using the Parallelized Large Eddy Simulation Model (PALM). Two canopy structures were considered: a homogenous canopy and canopy stripes. For each canopy stripe scenario, we considered thin, intermediate, and wide stripes, while the space between stripes equals the stripes’ width. Four leaf area densities were considered for each case (LAI = 0.5, 1, 1.5, and 2). The results showed that denser canopies and canopy stripes experienced more total deposition, noting that stripes had a larger per leaf area deposition than homogeneous canopies. Our results can be explained by canopy-induced turbulence structures that couple the air within and above the canopy and lead to more effective leaf area where this coupling is stronger. We aggregate our results to the whole-patch scale and suggest a canopy-structure and leaf-area dependent correction to the canopy resistance parameter so to be used in coarse models that resolve dry deposition. © 2021 Elsevier B.V.","Canopy patches; Leaf density; Scalar flux; Surface resistance","air quality; canopy architecture; dry deposition; heterogeneity; large eddy simulation; leaf; leaf area; patch size; spatial analysis; urban atmosphere",Article,"Final","",Scopus,2-s2.0-85105010137
"Lee K., Khanal S., Bakshi B.R.","57208621257;57219941075;7004361932;","Techno-ecologically synergistic food-energy-water systems can meet human and ecosystem needs",2021,"Energy and Environmental Science","14","7",,"3700","3716",,,"10.1039/d1ee00843a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110841923&doi=10.1039%2fd1ee00843a&partnerID=40&md5=9c77f88a687185b994cdbb21d4a3e0bc","William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States; Department of Food, Agricultural and Biological Engineering, The Ohio State University, Columbus, OH  43210, United States","Lee, K., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States; Khanal, S., Department of Food, Agricultural and Biological Engineering, The Ohio State University, Columbus, OH  43210, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States","Sustainable provisioning of energy to society requires consideration of the nexus between food-energy-water (FEW) flows while meeting human needs and respecting nature's capacity to provide goods and services. In this work, we explore the FEW nexus of conventional and techno-ecologically synergistic (TES) systems by evaluating combinations of various technological, agricultural, and ecological strategies from the viewpoints of electricity generation, food production, life cycle water use, carbon footprint, nutrient runoff, corporate profitability, and societal well-being. We evaluate activities related to power generation (coal and gas extraction and use, transportation options, cooling technologies, solar panels, wind turbines), food production (farming with and without tillage), waste utilization (carbon dioxide capture and conversion to hydrocarbons, green hydrogen), and ecological restoration (forests and wetlands). Application of this framework to the Muskingum River watershed in Ohio, U.S.A. indicates that seeking synergies between human and natural systems can provide innovative solutions that improve the FEW nexus while making positive contributions to society with greater respect for nature's limits. We show that the conventional engineering approach of relying only on technological approaches for meeting sustainability objectives can have limited environmental and societal benefits while reducing profitability. In contrast, techno-ecologically synergistic design between agricultural systems and wetlands can reduce nutrient runoff with little compromise in other goals. Additional synergies between farming and photovoltaic systems along with the use of wetlands can further improve the FEW nexus while reducing CO2 and nutrient emissions, with a relatively small compromise in corporate profitability. These results should motivate further work on innovative TES designs that can provide ""win-win""solutions for meeting global energy needs in an environmentally and socially beneficial manner. © The Royal Society of Chemistry.",,"Agricultural robots; Agricultural runoff; Agriculture; Carbon dioxide; Carbon footprint; Coal transportation; Conservation; Ecology; Electric power generation; Life cycle; Nutrients; Photovoltaic cells; Profitability; Solar power generation; Sustainable development; Thermal processing (foods); Wetlands; Agricultural system; Carbon dioxide capture; Ecological restoration; Electricity generation; Innovative solutions; Nutrient emissions; Photovoltaic systems; Sustainability objectives; Coal industry; emission control; energy efficiency; environmental restoration; food; food production; power generation; sustainability; sustainable development; technical efficiency; waste technology; Muskingum River; Ohio; United States",Article,"Final","",Scopus,2-s2.0-85110841923
"Ghosh T., Kim H.C., De Kleine R., Wallington T.J., Bakshi B.R.","57194178190;57208188153;38761199500;7102358724;7004361932;","Life cycle energy and greenhouse gas emissions implications of using carbon fiber reinforced polymers in automotive components: Front subframe case study",2021,"Sustainable Materials and Technologies","28",, e00263,"","",,,"10.1016/j.susmat.2021.e00263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102148657&doi=10.1016%2fj.susmat.2021.e00263&partnerID=40&md5=78343b0d5e74e4b83f02077a4def24f5","William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States; Ford Motor Company, Research & Advanced Engineering, Dearborn, MI  48121-2053, United States","Ghosh, T., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States; Kim, H.C., Ford Motor Company, Research & Advanced Engineering, Dearborn, MI  48121-2053, United States; De Kleine, R., Ford Motor Company, Research & Advanced Engineering, Dearborn, MI  48121-2053, United States; Wallington, T.J., Ford Motor Company, Research & Advanced Engineering, Dearborn, MI  48121-2053, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States","Vehicle lightweighting benefits consumers through fuel savings, manufacturers through a more fuel-efficient vehicle portfolio, and the environment through reduced fossil fuel use and lower emissions. Vehicle components can be lightweighted by replacing conventional materials with alternatives such as aluminum or composites. However, lightweight materials come with their own set of environmental and economic challenges. Often, manufacturing of lightweight materials requires more energy than for conventional materials such as steel. Understanding the net energy and environmental benefits of lightweighting requires life cycle assessment with a large enough system boundary to prevent shifting of impacts and to ensure a fair comparison between different material options. Life cycle assessments of carbon fiber composite parts are hampered by substantial uncertainties in the energy needed for their production and recycling and the vehicle fuel consumption benefits. The present study addresses these deficiencies using a detailed vehicle fuel consumption model and industrially relevant carbon fiber production data and component design. The front subframe case study considered illustrates the challenges associated with achieving life cycle energy and greenhouse gas savings using carbon fiber. The base case with no powertrain resizing, secondary weight savings, or recycled carbon fiber and with 160,000 miles vehicle lifetime has no energy or emission benefits. When powertrain resizing, secondary weight savings, carbon fiber recycling, and increased vehicle lifetime travel were considered, energy and greenhouse gas benefits were found. © 2021 Elsevier B.V.","Carbon fiber reinforced polymer; Greenhouse gas emissions; Life cycle assessment; Subframe; Vehicle lightweighting","Aluminum coated steel; Automobile manufacture; Carbon fiber reinforced plastics; Fibers; Fossil fuels; Fuel economy; Gas emissions; Graphite fibers; Greenhouse gases; Powertrains; Recycling; Carbon fiber composite; Carbon fiber reinforced polymer; Conventional materials; Environmental benefits; Fuel-efficient vehicles; Life Cycle Assessment (LCA); Lightweight materials; Vehicle lightweighting; Life cycle",Article,"Final","",Scopus,2-s2.0-85102148657
"Thakker V., Bakshi B.R.","57219843312;7004361932;","Toward sustainable circular economies: A computational framework for assessment and design",2021,"Journal of Cleaner Production","295",, 126353,"","",,3,"10.1016/j.jclepro.2021.126353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102297500&doi=10.1016%2fj.jclepro.2021.126353&partnerID=40&md5=afefbeef5d1373719775b21f2809be70","William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States","Thakker, V., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States","Numerous directives and strategies in recent times aim to establish a Circular Economy (CE) for retaining the value of consumer discarded products within the technosphere, thereby implicitly reducing the burden on the ecosphere. Many opportunities to recycle, down-cycle or up-cycle products have also been identified for enabling greater circularity. However, to obtain a Sustainable Circular Economy (SCE) there is a need to holistically assess and design entire value chains of the product while considering various alternatives that may be available at each stage of its circular network. Systematic methods are also needed to determine the environmental, economic, and social implications of various value chain pathways and quantify their trade-offs with circularity from the perspective of multiple stakeholders. We propose a systematic and rigorous computational framework to analyze existing circular systems and develop new designs. This framework combines the computational approach of life cycle assessment with optimization-based approaches for process synthesis and network representation. Life-cycle networks are modified to contain multiple alternatives along the value chain and permit circular flows between modules. Four basic types of nodes are identified such that any SCE network may be represented as their combination. The additional degrees of freedom generated in such a superstructure network are determined by using principles of allocation and displacement, material-energy balances and physico-chemical governing equations of modules, thereby permitting integration of fundamental models with data-based LCA methods. Typical cases that may arise in potential circular value chains are formulated and solved to highlight the wide applicability of the framework. Both analysis and synthesis methods are proposed to evaluate candidate pathways within the superstructure network. Application of this framework to illustrative examples highlights its use for systematic design of circular value chains to meet SCE goals by quantifying the trade-offs between objectives. Such a framework is needed to develop general software to study the scope of innovation at different stages of the value chain, and contribute toward optimal closing of the cycles of different materials. © 2021 Elsevier Ltd","Circular economy; Life-cycle analysis; Multi-objective optimization; Process synthesis; Sustainable design","Commerce; Degrees of freedom (mechanics); Ecodesign; Economic and social effects; Multiobjective optimization; Product design; Sustainable development; Circular economy; Circular networks; Computational framework; Environmental implications; Lifecycle analysis; Multi-objectives optimization; Process synthesis; Systematic method; Trade off; Value chains; Life cycle",Article,"Final","",Scopus,2-s2.0-85102297500
"Adjiman C.S., Sahinidis N.V., Vlachos D.G., Bakshi B., Maravelias C.T., Georgakis C.","8538732300;7004139208;7101636618;7004361932;7004263098;55809197000;","Process Systems Engineering Perspective on the Design of Materials and Molecules",2021,"Industrial and Engineering Chemistry Research","60","14",,"5194","5206",,,"10.1021/acs.iecr.0c05399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105036129&doi=10.1021%2facs.iecr.0c05399&partnerID=40&md5=935c5e8c2ac7e31f0c66004df396adf5","Department of Chemical Engineering, Centre for Process Systems Engineering, Institute for Molecular Science and Engineering, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom; H. Milton Stewart School of Industrial and Systems Engineering, School of Chemical and Biomolecular Engineering, Georgia Institute of Technology, Atlanta, GA  30332, United States; Department of Chemical and Biomolecular Engineering, Catalysis Center for Energy Innovation, RAPID Manufacturing Institute, Delaware Energy Institute (DEI), University of Delaware, Newark, DE  19716, United States; Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH  43210, United States; Department of Chemical and Biological Engineering, Andlinger Center for Energy and the Environment, Princeton University, Princeton, NJ  08544, United States; Department of Chemical and Biological Engineering Systems Research, Institute of Chemical and Biological Processes, Tufts University, Medford, MA  02155, United States","Adjiman, C.S., Department of Chemical Engineering, Centre for Process Systems Engineering, Institute for Molecular Science and Engineering, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom; Sahinidis, N.V., H. Milton Stewart School of Industrial and Systems Engineering, School of Chemical and Biomolecular Engineering, Georgia Institute of Technology, Atlanta, GA  30332, United States; Vlachos, D.G., Department of Chemical and Biomolecular Engineering, Catalysis Center for Energy Innovation, RAPID Manufacturing Institute, Delaware Energy Institute (DEI), University of Delaware, Newark, DE  19716, United States; Bakshi, B., Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH  43210, United States; Maravelias, C.T., Department of Chemical and Biological Engineering, Andlinger Center for Energy and the Environment, Princeton University, Princeton, NJ  08544, United States; Georgakis, C., Department of Chemical and Biological Engineering Systems Research, Institute of Chemical and Biological Processes, Tufts University, Medford, MA  02155, United States","This paper aims to provide an overview of the current state of the art in molecule and material design and a perspective on open questions. First, we discuss the interplay between process design and the design of molecules and materials and then present the basic trade-offs and interdependencies that need to be considered in this integrated design problem. Second, we introduce methods and open questions in the area of processing materials, with special emphasis placed on heterogeneous catalysts due to their importance in the chemical industry. Finally, we discuss materials for photovoltaic cells as one example of a chemical product that is likely to help supply sustainable energy and address climate change concerns. What is presented here is based on presentations and discussions during the FIPSE-4 meeting in June 2018 (https://www.fi-in-pse.org/fipse-4-2018). © 2021 American Chemical Society.",,"Chemical industry; Climate change; Economic and social effects; Molecules; Photoelectrochemical cells; Photovoltaic cells; Systems engineering; Chemical products; Heterogeneous catalyst; Integrated designs; Material designs; Process systems engineering; State of the art; Sustainable energy; Trade off; Design",Article,"Final","",Scopus,2-s2.0-85105036129
"Bakshi B.R., Shonnard D., Allen D.T.","7004361932;35564572200;57211220845;","ACS Sustainable Chemistry & Engineering Invites Contributions to a Virtual Special Issue on the Circular Economy of Plastics",2021,"ACS Sustainable Chemistry and Engineering","9","4",,"1425","1426",,1,"10.1021/acssuschemeng.1c00209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101365466&doi=10.1021%2facssuschemeng.1c00209&partnerID=40&md5=4d3683274d5504bb155f520cfd1f1cf5",,"Bakshi, B.R.; Shonnard, D.; Allen, D.T.",[No abstract available],,,Editorial,"Final","",Scopus,2-s2.0-85101365466
"Shah S.L., Bakshi B.R., Liu J., Georgakis C., Chachuat B., Braatz R.D., Young B.R.","57203030023;7004361932;55705837500;55809197000;15759305000;7005734090;55827178500;","Meeting the challenge of water sustainability: The role of process systems engineering",2021,"AIChE Journal","67","2", e17113,"","",,,"10.1002/aic.17113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096794569&doi=10.1002%2faic.17113&partnerID=40&md5=303e5848b84eda755c50741ef0ff1b6d","Department of Chemical & Materials Engineering, University of Alberta, Edmonton, AB, Canada; Department of Chemical & Biomolecular Engineering, The Ohio State University, Columbus, OH, United States; Department of Chemical & Biological Engineering, Tufts University, Medford, MA, United States; Centre for Process Systems Engineering, Department of Chemical Engineering, Imperial College London, London, United Kingdom; Department of Chemical Engineering, MIT, Cambridge, MA, United States; Department of Chemical and Materials Engineering, University of Auckland, Auckland, New Zealand","Shah, S.L., Department of Chemical & Materials Engineering, University of Alberta, Edmonton, AB, Canada; Bakshi, B.R., Department of Chemical & Biomolecular Engineering, The Ohio State University, Columbus, OH, United States; Liu, J., Department of Chemical & Materials Engineering, University of Alberta, Edmonton, AB, Canada; Georgakis, C., Department of Chemical & Biological Engineering, Tufts University, Medford, MA, United States; Chachuat, B., Centre for Process Systems Engineering, Department of Chemical Engineering, Imperial College London, London, United Kingdom; Braatz, R.D., Department of Chemical Engineering, MIT, Cambridge, MA, United States; Young, B.R., Department of Chemical and Materials Engineering, University of Auckland, Auckland, New Zealand","This white paper is the result of discussions during the FIPSE-4 conference (http://fi-in-pse.org) in June 2018. It aims to highlight open problems and provide directions for future research in the area of water with emphasis on its agricultural usages. Some of the open problems discussed are: (a) the use of ecosystems as unit operations to understand their role in providing freshwater and in cleaning polluted water; (b) consideration of interactions and independencies between flows of water and other resources, such as food, energy, materials, ecosystem services, and environmental emissions; (c) challenges in modeling, sensing, and closed-loop control in precision irrigation. In particular, the development of agro-hydrological models that balance computing speed versus solution details and accuracy: (d) The use of state and parameter estimation approaches, through field measurements, to obtain soil moisture levels accurately; and (e) decision support systems to administer water and nutrient needs for optimum yields of agricultural products. © 2020 American Institute of Chemical Engineers","control; estimation; mathematical modeling; water","Agricultural products; Agricultural robots; Closed loop control systems; Decision support systems; Ecosystems; Soil moisture; Systems engineering; Water pollution; Closed-loop control; Ecosystem services; Environmental emissions; Hydrological models; Precision irrigation; Process systems engineering; State and parameter estimations; Water sustainability; Sustainable development",Article,"Final","",Scopus,2-s2.0-85096794569
"Charles M., Bakshi B.R.","57209278539;7004361932;","Designing industrial landscapes for mitigating air pollution with spatially-explicit techno-ecological synergy",2021,"AIChE Journal",,,,"","",,,"10.1002/aic.17347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108244597&doi=10.1002%2faic.17347&partnerID=40&md5=45ae31a7e8fee3757a264c8aa0b2f2c8","William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH, United States","Charles, M., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH, United States","Air pollution has posed health and environmental threats since the Industrial Revolution. Technological solutions present major expenses for industry, yet nature's ecosystems also provide pollution uptake. In the pursuit of techno-ecological sustainable design, this work presents a framework for spatially-explicit industrial site design that determines where and when ecological restoration should be considered. The framework considers land use changes and identifies the cheapest balance between technological and ecological uptake for industrial landscapes, including the impacts of long term ecological growth dynamics. This work presents the framework's construction along with a case study conducted for a coal-fired power station in Ohio. The results provide spatial maps of proposed restoration areas, projected savings values, and spatial-temporal maps that consider annual budget constraints. The results demonstrate a significant sensitivity to land use restoration costs and highlights ecological advantages, like simultaneous uptake of different chemical species. © 2021 American Institute of Chemical Engineers.","air pollution; ecosystem services; landscape design; optimization; sustainable design","Air pollution; Budget control; Fossil fuel power plants; Health risks; Land use; Restoration; Coal fired power station; Ecological restoration; Environmental threats; Industrial revolutions; Restoration costs; Spatial temporals; Spatially explicit; Technological solution; Sustainable development",Article,"Article in Press","",Scopus,2-s2.0-85108244597
