label,title,abstract,doi,notes_i
ref_006,Microplastic footprints in the Qinghai-Tibet Plateau and their implications to the Yangtze River Basin,"Microplastics (MPs) are pervasive in the environment and have posed growing threat to ecosystems and human health. This study investigated MP abundances in surface water (fresh and salt lakes, urban and rural rivers, etc.) from 28 stations in the Qinghai-Tibet Plateau. MPs were detected in 25 out of 28 water samples with relatively low abundance (average 584.82 particles m−3). Fibers were the most frequently observed shape, particle sizes mostly ranged from 100 to 500 µm, and the greatest number of MPs was polypropylene. Source analysis identified the major sources of domestic wastewater and tourism in some areas. The concentration and proportion of small MPs (20–100 µm) in salty water were apparently greater than that in fresh water, indicating Salt intrusion accelerated MPs fragmentation. As the study area is the origin of the Yangtze River, we further compared the MP distribution throughout the watershed. Nearly two orders of magnitude in MP concentrations were increased associated with urban agglomeration in the middle and downstream areas, but the highest level was marked around the Yichang City (location of the Three Gorges Reservoir) due to interception associated with sedimentation and precipitation. This study provides data and theoretical bases for analyzing MPs migration and degradation processes in high altitudes. © 2020 Elsevier B.V.",10.1016/j.jhazmat.2020.124776,Micro plastics literature?
ref_010,Bioeconomy moving forward step by step – A global journey,"Continuous, inspiring and interconnected step-by-step changes in thought and understanding, knowhow, actions and behaviour have often been instrumental in transitions from one particular age to the next in human history. This also applies to the present century and its sustainability challenges at the planetary, regional and local levels. Therefore, it is of great importance and relevance to move forward on the journey which has been started globally to address the not insignificant number of challenges. It is however essential to go beyond descriptive work by continuing with novel, inspiring and interconnected steps to find solutions to overcome these challenges. As this huge task also requires multidimensional communication, understanding and actions across different regions, cultures, disciplines and knowledge areas, the development of a common conceptual framework such as the concept of bioeconomy has been accepted globally as very valuable. The momentum which has been created in more than 50 countries around the world by the growing number of activities, initiatives and strategies in bioeconomy is very encouraging. This offers great opportunities to mobilize even more stakeholders in science and industry, as well as society, to join the bioeconomy journey. Strategic high-level concepts such as preserving the value of the natural capital of planet earth, connecting economy and ecology, sustaining the boundary conditions and habitability of our biosphere are highly important. It is also essential on the bioeconomy journey to connect with highly specific and actionable missions, programs and plans towards sustainable economic growth under the boundary conditions of our planet. © 2020",10.1016/j.nbt.2020.11.006,Bioeconomy literature
ref_012,Policy narratives of circular economy in the EU – Assessing the embeddedness of water and land in national action plans,"Following the challenges of the European Union (EU), member states have adopted circular economy (CE) plans and strategies, with objectives and measures to foster circularity. Although the concept of CE refers to various natural resources such as water and land, little is known on how current CE policies are integrating these environmental resources. This article assesses how water and land concerns are embedded in the EU CE action plans issued in 2015 and 2020 and a set of nine member states’ subsequent national plans. The assessment used a content analysis based on two variables, the frequency of water and land’ related terms and the consistency of their inclusion within the plans. The findings reveal that neither water nor land emerge as major concerns in the CE plans, in comparison to materials or waste. Also, they are not consistently associated with the typical components of the plans namely problem-showcase, objectives, strategies and measures, stakeholders, and CE performance indicators. Nevertheless, the embeddedness of water is more evident in the plans of southern countries, whereas land concerns are much more erratic. If water and land concerns, are to be at the forefront of the transition to circularity, as the literature recommends, and if these plans are expected to offer an integrated approach of the CE concept, further efforts should be made to ensure their embeddedness. © 2020",10.1016/j.jclepro.2020.125685,Narratives in the circular economy
ref_014,Development of an integrated sustainability matrix to depict challenges and trade-offs of introducing bio-based plastics in the food packaging value chain,"As global plastic pollution is gaining increased attention, the use of bio-based plastics, especially in the food packaging sector, is growing in popularity. While this move is regarded as a solution to plastic pollution, it may shift or create detrimental impacts elsewhere in the production, consumption, management system, a possibility that is underexplored. The aim of the present study is to identify the potential challenges and trade-offs associated with the introduction of bio-based plastics in the food packaging industry, and highlight issues relevant to policy and decision-making processes. We employ a whole system approach to review the literature and assess holistically the performance of bio-based plastics, which looks at the entire lifecycle of bio-based plastic packaging (i.e. production, consumption, management) and considers wider aspects in the environmental, economic, social and technical sustainability domains. Based on our findings, we developed, and present herein, a sustainability decision matrix, a novel guiding tool, which can provide important insights into the potential impacts of the introduction of larger amount of bio-based plastic food packaging in the future and support decision-making processes. In conclusion, our preliminary high-level assessment of the bio-based plastics production, use and management system clearly reveals a number of blind-spots across the entire system that are currently ignored by the use of single-dimensional approaches. This highlights that the sustainability assessment of specific bio-based polymers requires thorough and further research that takes into account the type of feedstock, infrastructure availability, and interactions between sustainability domains, to ensure that the substitution of petrochemical-based plastics with bio-based alternatives in food packaging sector will not lead to unintended consequences. © 2020",10.1016/j.jclepro.2020.125378,bioplastics
ref_015,The occurrence and transport of microplastics: The state of the science,"Microplastic (MP) particles have been observed in most environments and concentrations are expected to increase over the coming decades given continued and increased production of synthetic polymer products. The expected increase in plastic pollution (including MPs) may elevate the risk posed by these synthetic particles to both environmental and human health. The purpose of this review is to provide a review of the state of knowledge regarding the occurrence and transport of MPs in and across three of the Earths subsystems, specifically, the lithosphere, atmosphere, and hydrosphere. Evidence is presented that shows the lithosphere includes substantial MP accumulation (e.g. approximately 25 particles L−1 in landfill leachate), the impacts of which remain poorly understood. The atmosphere plays an important role in MP transport, with increased occurrence and higher transport concentrations noted in more densely populated areas (e.g. 175 to 313 particles m−2 d−1 in Dongguan China). In the hydrosphere, freshwater ecosystems alternate between MP transport (e.g. rivers) and deposition (e.g. lakes) with flow rate being identified as a key factor determining the movement and fate of MPs. Conversely, marine ecosystems act as a major sink for MP pollution (e.g. MP comprise 94%, approximately 1.69 trillion pieces, of plastic pieces in the Great Pacific Garbage Patch), driven by direct deposition or by transport via the atmosphere or freshwater conveyance systems (e.g. streams, rivers, or ice sheets). Once ingested by organisms, the trophic transfer and bioaccumulation of MPs has been confirmed with the polymer particles potentially accumulating in or impacting fauna, flora, microbes, and humans. Finally, 16 areas are identified in which future MP research efforts should be focused, with the goal of accurately identifying the scope and potential risks posed by synthetic polymer pollution. This review serves as a valuable steppingstone for future research and researchers wishing to address MP research gaps across various environmental settings in the coming decades. © 2020 Elsevier B.V.",10.1016/j.scitotenv.2020.143936,NA
ref_017,From source to sink: Review and prospects of microplastics in wetland ecosystems,"The source, distribution, migration, and fate of microplastics (MPs) in aquatic and terrestrial ecosystems have received much attention. However, the relevant reports in wetland ecosystems, the boundary area between water and land, are still rare. Where are the sources and sinks of MPs in the wetland? The latest researches have shown that the sources of MPs in wetlands include sewage discharge, surface runoff, and plastic wastes from aquaculture. Fibers and fragments are the most common shapes, and PE, PP, PS can be detected in water or sediment matrices, and biota of wetlands. The distribution is affected by hydrodynamic conditions, sediment properties, and vegetation coverage. Factors affecting the vertical migration of MPs include their own physical and chemical properties, the combination of substances that accelerate deposition (mineral adsorption and biological flocculation), and resuspension. Minerals tend to adsorb negatively charged MPs while algae aggregates have a preference for positively charged MPs. The wetlands vegetation can trap MPs and affect their migration. In water matrices, MPs are ingested by organisms and integrated into sediments, which makes them seem undetectable in the wetland ecosystem. Photodegradation and microbial degradation can further reduce the MPs in size. Although recent research has increased, we are still searching for a methodological harmonization of the detection practices and exploring the migration rules and fate patterns of MPs. Our work is the first comprehensive review of the source, distribution, migration, and fate of MPs in wetland ecosystems. It reveals the uniqueness of wetland habitat in the research of MPs and indicates the potential of wetlands acting as sources or sinks for MPs. © 2020 Elsevier B.V.",10.1016/j.scitotenv.2020.143633,NAMicroplastics
ref_019,The interoperability of exergy and Life Cycle Thinking in assessing manufacturing sustainability: A review of hybrid approaches,"Today, the Life Cycle Assessment (LCA) is the most employed tool for assessing the sustainability of products and processes, both from an environmental, social and economic point of view. Exergy is defined by literature as the amount of useful work that can be derived from a real system when it is brought into equilibrium with its environment. In the literature, it is considered an outstanding concept that can be applied to enhance the effectiveness of ordinary evaluation models such as LCA. The literature proposes a variety of hybrid approaches that combine Exergetic Analysis (EA) and LCA with different combination frameworks. The aim of this paper is to describe the potential of each hybrid method and to characterize the degree of interoperability between EA and LCA that each of them can provide. Nevertheless, there are drawbacks that seem to be too challenging to overcome: a variety of inconsistencies in the interpretation of the results due to the difficulty of the inventory phase and the ambiguity in the choice of the correct alternative in the standard databases; the link with old techniques that refers to obsolete approaches in finding data that suit to the updated goals and scopes; the difficulty in conducting an assessment affected by the least possible uncertainty. Following a theoretical overview of the principles of each hybrid method that binds EA and LCA, the authors want to provide a review from a completely different point of view than the state-of-the-art literature, on how effectively EA and LCA can interact with each other in order to provide a more holistic view of the system/process to be assessed. The fascinating circumstance that emerges from the review is that any exergy approach would be more effective if joined (not replaced) to the standard LCA, because it turned out to be complementary. This theory has long been developed by many authors in their case studies as a confirmation of what Gutowski wrote years ago: no single alternative criteria or subsidiary model, independently of how well aggregated, may offer a suitable answer for all conditions. Specifically, through this review, the practitioners would be able to choose the best suited hybrid methodology, according to their aims, join the outcomes together and achieve a transdisciplinary knowledge of the behavior of the study case system, in order to design the best improvement strategies. © 2020 Elsevier Ltd",10.1016/j.jclepro.2020.124932,LCA and exergy?
ref_020,Environmental soil quality and vegetable safety under current greenhouse vegetable production management in China,"Rapid expansion of greenhouse vegetable production (GVP) in China over the last few decades has substantially promoted vegetable production and farmers’ incomes. However, the semi-closed GVP environment can lead to accumulation of soil contaminants and impose a threat to human health through consumption of vegetables. This paper reviews the current environmental soil status and vegetable safety in Chinese GVPs. Furthermore, we propose several lines of future research to better understand the sources and pathways of GVP contaminants and to identify alternative management to achieve sustainable development. Our review suggests that legacy agricultural practices, including intensive application of agrochemicals and frequent irrigation, have led to significant soil acidification and salinization, as well as accumulation of nutrients and emerging contaminants in human-altered and human-transported soils used for GVP and in GVP vegetables. Over fertilization has led to very low nutrient use efficiencies, particularly for phosphorus and nitrogen. In addition, high inputs of manure, plastic films, and pesticides have promoted significant accumulation of organochlorines, antibiotics, phthalic acid esters, and heavy metals in soils and vegetables at levels exceeding or close to their permitted environmental threshold values. Leafy vegetables with large surface area have the highest levels of contaminants which, in turn, can cause health risks to consumers. Nevertheless, the sources and the paths of contaminants entering the soils and vegetables have not been widely investigated, particularly in the southwestern and northern Chinese provinces. Future research should include detailed documentation of agrochemicals and soil properties involved in the retention, degradation, and mobilization of contaminants. Furthermore, new cleaning technologies should be taken in practice to mitigate or prevent contamination of soil and vegetables. © 2020 Elsevier B.V.",10.1016/j.agee.2020.107230,Possible example for ecosystem services and plastic?
ref_022,A probabilistic risk assessment of microplastics in soil ecosystems,"Plastics have a variety of applications due to their versatility, relative cost, and strength-to-weight ratio, and resistance to degradation. As a result, plastic waste can be found in all corners of the Earth. A class of plastic contaminants that have received increasing attention in terms of their potential impact on ecosystems is microplastics (≤5 mm). The greatest attention to date has been on their potential effect in marine ecosystems. However, a growing number of studies are examining their potential impact on soil ecosystems. The data reported in the literature on the environmentally-relevant concentrations of microplastics in soils and the concentration of microplastics that causes an adverse effect in soil biota were used to perform a probabilistic risk assessment of microplastics to soil biota. An environmental exposure distribution was constructed from the concentrations of microplastics reported in soil in the literature. Species sensitivity distributions were constructed using concentration of microplastics in soil that had no adverse effect on soil species (NOEC) or the lowest concentrations that had an adverse effect on soil species (LOEC) reported in the literature. The 95th centile of the environmental exposure distribution (8147 microplastic particles per gram of soil) was greater than 22 and 28% of the species sensitivity distribution constructed using NOECs and LOECs, respectively. The assessment concluded that environmentally relevant concentrations of microplastics reported in the literature could pose a considerable risk to soil biota. It is also important to note that due to the continued production of large quantities of plastic and the persistence of microplastics in the environment, environmentally-relevant concentrations of microplastics in soil are likely to only rise. © 2020 Elsevier B.V.",10.1016/j.scitotenv.2020.143987,microplastics soil assessment
ref_023,Circular economy and paradox theory: A business model perspective,"Business models have become the subject of increasing attention amid management practitioners and researchers since the early nineties and business model innovation has emerged as a distinctive field of academic enquiry. More recently, business model innovation for the circular economy has caught the attention of business leaders and academics alike as the circular economy promises to deliver economic prosperity within ecological limits. Yet research on circular business models is nascent and the business literature gives limited attention to the challenges deriving from circular economy implementation. Using an integrative research approach and particularly, drawing on both paradox theory and circular economy principles and loops, this article provides a preliminary, conceptual systematisation of the typology of organisational tensions in circular economy implementation. It also discusses the relevance of these tensions from a business model perspective. As a result, this article contributes to circular economy research wherein challenges are mostly analysed at the macro level and in the absence of a specific theoretical anchoring. © 2020 Elsevier Ltd",10.1016/j.jclepro.2020.124823,NA
